PDF_URL,Local_File_Path
https://sdgs.un.org/sites/default/files/2020-10/basque2019.pdf,precompute-data/download_vlr_pdfs/downloads/8765023b/basque2019.pdf
https://sdgs.un.org/sites/default/files/2020-12/Pittsburgh%20VLR%202020%20Final%20Draft.pdf,precompute-data/download_vlr_pdfs/downloads/6ad102ec/Pittsburgh%20VLR%202020%20Final%20Draft.pdf
https://sdgs.un.org/sites/default/files/2021-01/Montevideo%20LVR%202020.pdf,precompute-data/download_vlr_pdfs/downloads/1fcadeae/Montevideo%20LVR%202020.pdf
https://sdgs.un.org/sites/default/files/2021-01/VLR%20Guangzhou%2C%20China-compressed.pdf,precompute-data/download_vlr_pdfs/downloads/ed28447c/VLR%20Guangzhou%2C%20China-compressed.pdf
https://sdgs.un.org/sites/default/files/2021-03/EspooVLR2020Websmall.pdf,precompute-data/download_vlr_pdfs/downloads/76131605/EspooVLR2020Websmall.pdf
https://sdgs.un.org/sites/default/files/2021-03/VLR%20YucatanISV_ESP_small.pdf,precompute-data/download_vlr_pdfs/downloads/0d697763/VLR%20YucatanISV_ESP_small.pdf
https://sdgs.un.org/sites/default/files/2021-03/VLR%20YucatanISV_ING_small.pdf,precompute-data/download_vlr_pdfs/downloads/fce735aa/VLR%20YucatanISV_ING_small.pdf
https://sdgs.un.org/sites/default/files/2021-04/Mexico%20City%20VLR.pdf,precompute-data/download_vlr_pdfs/downloads/8ae98d74/Mexico%20City%20VLR.pdf
https://sdgs.un.org/sites/default/files/2021-04/odssp-port.pdf,precompute-data/download_vlr_pdfs/downloads/c3a6a08f/odssp-port.pdf
https://sdgs.un.org/sites/default/files/2021-07/Agenda%202030%20in%20Asker%2C%20Voluntary%20Local%20Review%202021%20%281%29.pdf,precompute-data/download_vlr_pdfs/downloads/addd9571/Agenda%202030%20in%20Asker%2C%20Voluntary%20Local%20Review%202021%20%281%29.pdf
https://sdgs.un.org/sites/default/files/2021-07/Helsingborg_VLR_2021%20%282%29.pdf,precompute-data/download_vlr_pdfs/downloads/a04b51e0/Helsingborg_VLR_2021%20%282%29.pdf
https://sdgs.un.org/sites/default/files/2021-07/Helsinki_VLR_From%20Agenda%20to%20Action%202021%20%281%29_0.pdf,precompute-data/download_vlr_pdfs/downloads/aba65475/Helsinki_VLR_From%20Agenda%20to%20Action%202021%20%281%29_0.pdf
https://sdgs.un.org/sites/default/files/2021-07/Stockholm%20Volontary%20Local%20Review%202020_Agenda2030%20eng.pdf,precompute-data/download_vlr_pdfs/downloads/d49c4ee1/Stockholm%20Volontary%20Local%20Review%202020_Agenda2030%20eng.pdf
https://sdgs.un.org/sites/default/files/2021-07/VF_CDMX.pdf,precompute-data/download_vlr_pdfs/downloads/1be713b8/VF_CDMX.pdf
https://sdgs.un.org/sites/default/files/2021-07/VLR%20SDGs%20Shah%20Alam.pdf,precompute-data/download_vlr_pdfs/downloads/4855d633/VLR%20SDGs%20Shah%20Alam.pdf
https://sdgs.un.org/sites/default/files/2021-07/VLR%20SDGs%20Subang%20Jaya.pdf,precompute-data/download_vlr_pdfs/downloads/f1c567f2/VLR%20SDGs%20Subang%20Jaya.pdf
https://sdgs.un.org/sites/default/files/2021-08/Mexico_Merida.pdf,precompute-data/download_vlr_pdfs/downloads/3e7b134a/Mexico_Merida.pdf
https://sdgs.un.org/sites/default/files/2021-08/Mexico_Tabasco.pdf,precompute-data/download_vlr_pdfs/downloads/9a2d863e/Mexico_Tabasco.pdf
https://sdgs.un.org/sites/default/files/2021-08/VF_Durango_ILV.pdf,precompute-data/download_vlr_pdfs/downloads/60b18806/VF_Durango_ILV.pdf
https://sdgs.un.org/sites/default/files/2021-10/Skiathos%20VLR%202020.pdf,precompute-data/download_vlr_pdfs/downloads/1a91fc3f/Skiathos%20VLR%202020.pdf
https://sdgs.un.org/sites/default/files/2021-11/Orlando%20VLR%202021.pdf,precompute-data/download_vlr_pdfs/downloads/b5d53d39/Orlando%20VLR%202021.pdf
https://sdgs.un.org/sites/default/files/vlrs/2021-06/Barcelona%202020%20%20Informe.pdf,precompute-data/download_vlr_pdfs/downloads/1d43caac/Barcelona%202020%20%20Informe.pdf
https://sdgs.un.org/sites/default/files/vlrs/2021-06/Barcelona_Agenda2030_Metas_Indicadores%20clave_Spanish.pdf,precompute-data/download_vlr_pdfs/downloads/c368eb4f/Barcelona_Agenda2030_Metas_Indicadores%20clave_Spanish.pdf
https://sdgs.un.org/sites/default/files/vlrs/2021-06/GladsaxeReport-VLR.pdf,precompute-data/download_vlr_pdfs/downloads/5403ad1d/GladsaxeReport-VLR.pdf
https://sdgs.un.org/sites/default/files/vlrs/2021-06/ghent_sdg_voluntary_local_review_2020.pdf,precompute-data/download_vlr_pdfs/downloads/ca01b88b/ghent_sdg_voluntary_local_review_2020.pdf
https://sdgs.un.org/sites/default/files/vlrs/2021-07/vlr_city_of_malmo_2021_0.pdf,precompute-data/download_vlr_pdfs/downloads/932d3b5b/vlr_city_of_malmo_2021_0.pdf
https://sdgs.un.org/sites/default/files/vlrs/2021-08/vf_ilv_edomex_compressed.pdf,precompute-data/download_vlr_pdfs/downloads/b8532ec3/vf_ilv_edomex_compressed.pdf
https://sdgs.un.org/sites/default/files/vlrs/2021-09/2nd_vlr_state_of_para_brazil.pdf,precompute-data/download_vlr_pdfs/downloads/0db858f9/2nd_vlr_state_of_para_brazil.pdf
https://sdgs.un.org/sites/default/files/vlrs/2021-09/ghent_sustainability_report_2021_-_focus_on_people_-_voluntary_local_review.pdf,precompute-data/download_vlr_pdfs/downloads/14b74371/ghent_sustainability_report_2021_-_focus_on_people_-_voluntary_local_review.pdf
https://sdgs.un.org/sites/default/files/vlrs/2021-09/voluntary_local_review_yiwu_0.pdf,precompute-data/download_vlr_pdfs/downloads/a0441e25/voluntary_local_review_yiwu_0.pdf
